"p_00","p_01","p_02","p_10","p_11","p_12","p_20","p_21","p_22"
1,0,0,0,1,0,0,0,1
0.998751093242995,0.000623749944372333,0.00062515681263294,0.00124734436109227,0.997501878754598,0.00125077688430998,0,0,1
0.997504213191007,0.00124536815948482,0.00125041864950772,0.00249032362518424,0.995008912626768,0.00250076374804779,0,0,1
0.996259355816612,0.00186485839532545,0.00187578578806226,0.00372894735322474,0.992521095850717,0.00374995679605834,0,0,1
0.995016517098218,0.00248222440319686,0.00250125849858461,0.00496322509589743,0.990038422649413,0.00499835225468962,0,0,1
0.993775693020075,0.0030974699356852,0.00312683704423995,0.00619316639360045,0.98756088723466,0.00624594637174007,0,0,1
0.992536879572273,0.00371059874662919,0.00375252168109765,0.0074187807764263,0.985088483807168,0.00749273541640599,0,0,1
0.991300072750753,0.00432161459108917,0.00437831265815827,0.00864007776414172,0.982621206556629,0.00873871567922886,0,0,1
0.990065268557303,0.00493052122531621,0.00500421021738049,0.00985706686616778,0.980159049661789,0.00998388347204271,0,0,1
0.98883246299957,0.00553732240672141,0.00563021459370813,0.01106975758156,0.977702007290518,0.0112282351279214,0,0,1
0.987601652091058,0.00614202189384512,0.00625632601509702,0.0122781593989886,0.975250073599885,0.0124717670011261,0,0,1
0.986372831851132,0.00674462344632635,0.00688254470254192,0.013482281796719,0.972803242736229,0.0137144754670525,0,0,1
0.985145998305024,0.00734513082487221,0.00750887087010344,0.0146821342425923,0.97036150883523,0.0149563569221778,0,0,1
0.983921147483838,0.00794354779122742,0.00813530472493483,0.0158777261940058,0.967924866021986,0.0161974077840087,0,0,1
0.982698275424547,0.00853987810814393,0.00876184646730883,0.0170690670978936,0.965493308411078,0.0174376244910281,0,0,1
0.981477378170005,0.00913412553935058,0.00938849629064448,0.0182561663907081,0.963066830106649,0.0186770035026425,0,0,1
0.980258451768943,0.00972629384952284,0.0100152543815339,0.0194390334983999,0.96064542520247,0.0199155412991296,0,0,1
0.979041492275978,0.0103163868042527,0.0106421209197691,0.0206176778364001,0.958229087782015,0.021153234381585,0,0,1
