"p_00","p_01","p_02","p_10","p_11","p_12","p_20","p_21","p_22"
1,0,0,0,1,0,0,0,1
0.998751659540128,0.00062370435799052,0.000624636101881103,0.00260551574189559,0.997392409063898,0.00000207519420662587,0,0,1
0.997506190953634,0.00124521148642063,0.00124859755994568,0.00520067378105094,0.994793553308867,0.00000577291008173941,0,0,1
0.99626358532058,0.0018645287746834,0.0018718859047366,0.00778550984240586,0.992203402922967,0.0000110872346270357,0,0,1
0.995023833750854,0.00248166358701382,0.00249450266213221,0.010360059529867,0.98962192819625,0.0000180122738825749,0,0,1
0.993786927384063,0.00309662326257527,0.00311644935336123,0.0129243583267194,0.987049099520415,0.0000265421528661788,0,0,1
0.992552857389437,0.00370941511554569,0.00373772749501761,0.0154784415960361,0.984484887388451,0.0000366710155130206,0,0,1
0.991321614965721,0.00432004643520346,0.00435833859907529,0.0180223445810871,0.981929262394297,0.0000483930246154087,0,0,1
0.990093191341084,0.00492852448601293,0.00497828417290297,0.0205561024057463,0.979382195232491,0.0000617023617627615,0,0,1
0.988867577773012,0.00553485650770972,0.00559756571927876,0.0230797500748974,0.976843656697821,0.0000765932272817752,0,0,1
0.987644765548209,0.00613904971538572,0.00621618473640487,0.0255933224748379,0.974313617684985,0.0000930598401767817,0,0,1
0.986424745982504,0.00674111129957372,0.0068341427179222,0.0280968543736828,0.971792049188247,0.000111096438070298,0,0,1
0.985207510420743,0.00734104842633185,0.00745144115292487,0.0305903804217654,0.969278922301091,0.000130697277143764,0,0,1
0.983993050236698,0.00793886823732765,0.00806808152597477,0.0330739351520383,0.966774208215883,0.000151856632078472,0,0,1
0.982781356832962,0.00853457784992188,0.00868406531711595,0.0355475529804715,0.964277878223532,0.000174568795996683,0,0,1
0.981572421640859,0.00912818435725204,0.00929939400188913,0.0380112682064507,0.961789903713146,0.00019882808040293,0,0,1
0.980366236120338,0.00971969482831561,0.00991406905134597,0.0404651150131728,0.959310256171702,0.000224628815125513,0,0,1
0.979162791759884,0.010309116308053,0.0105280919320635,0.042909127468041,0.956838907183701,0.000251965348258177,0,0,1
0.977962080076412,0.0108964558174301,0.0111414641061582,0.0453433395230582,0.95437582843084,0.000280832046101977,0,0,1
0.976764092615179,0.0114817203535207,0.0117541870313005,0.047767785015219,0.951920991691674,0.000311223293107328,0,0,1
0.975568820949682,0.0120649168895888,0.0123662621607287,0.0501824976669007,0.949474368841283,0.000343133491816247,0,0,1
0.974376256681566,0.0126460523751701,0.0129776909432635,0.0525875110862521,0.947035931850943,0.000376557062804765,0,0,1
0.973186391440525,0.0132251337361534,0.0135884748233215,0.0549828587675823,0.944605652787792,0.00041148844462554,0,0,1
0.971999216884208,0.0138021678748623,0.0141986152409297,0.057368574091747,0.942183503814502,0.000447922093750638,0,0,1
0.970814724698125,0.0143771616701358,0.0148081136317394,0.0597446903265342,0.939769457188951,0.000485852484514509,0,0,1
0.969632906595551,0.014950121977409,0.0154169714270402,0.062111240627048,0.937363485263895,0.000525274109057138,0,0,1
0.968453754317433,0.0155210556287938,0.0160251900537737,0.0644682580360915,0.934965560486641,0.000566181477267377,0,0,1
0.967277259632294,0.0160899694331584,0.0166327709345477,0.0668157754845485,0.932575655398725,0.000608569116726465,0,0,1
0.966103414336143,0.0166568701762077,0.0172397154876496,0.0691538257917633,0.930193742635585,0.000652431572651719,0,0,1
0.964932210252377,0.0172217646205626,0.0178460251270607,0.0714824416659199,0.92781979492624,0.000697763407840411,0,0,1
0.963763639231691,0.0177846595058394,0.0184517012624696,0.0738016557044193,0.925453785092967,0.000744559202613825,0,0,1
0.962597693151986,0.0183455615487287,0.0190567452992858,0.0761115003942561,0.923095686050982,0.000792813554761488,0,0,1
0.961434363918272,0.0189044774430742,0.0196611586386535,0.0784120081123932,0.920745470808121,0.000842521079485582,0,0,1
0.960273643462584,0.0194614138599509,0.0202649426774655,0.0807032111261355,0.918403112464519,0.000893676409345531,0,0,1
0.95911552374388,0.0200163774477439,0.0208680988083762,0.0829851415935028,0.916068584212294,0.000946274194202773,0,0,1
0.957959996747959,0.0205693748322257,0.0214706284198154,0.0852578315636002,0.913741859335234,0.00100030910116569,0,0,1
0.956807054487364,0.0211204126166341,0.0220725328960019,0.0875213129769889,0.911422911208476,0.00105577581453475,0,0,1
0.955656689001294,0.0216694973817497,0.0226738136169568,0.0897756176660538,0.909111713298198,0.00111266903574776,0,0,1
0.954508892355511,0.0222166356859728,0.0232744719585166,0.0920207773553717,0.906808239161303,0.00117098348332538,0,0,1
