"Clr","Dedr","Age","Brt","Dwt","Value","HP","Stroke","Code1"
203661,64515,5,53324,63645,46482841,47447,0,3
156128,45160,5,53324,63645,46482841,47447,0,3
201005,126180,5,53324,63523,47250566,47447,0,3
201028,45160,5,53324,63523,47250566,47447,0,3
842504,126180,6,31000,37000,12644881,38542,0,3
1680546,883260,6,31000,37000,12644881,38542,0,3
938097,883260,6,31000,37000,12644881,38542,0,3
86917,51612,16,25353,12019,17922184,14412,1,3
133629,51612,16,25353,12019,17922184,14412,1,3
402570,84749,28,11999,4211,20480784,16000,1,5
964708,94635,10,19643,29271,33937937,12100,0,7
161961,107253,5,10018,9965,31748392,8157,0,7
365922,111669,5,23496,29458,46815480,12510,0,7
729632,65159,10,2298,300,21719779,1379,1,8
158932,96772,4,155061,322398,57159540,29450,0,1
554199,49479,6,11426,17078,27096220,8973,1,6
104178,45000,4,16200,22420,10977660,18120,0,3
136201,63090,22,7114,1849,5804280,4500,1,2
300093,126180,3,11591,4442,34068600,13378,1,2
165503,100944,16,16250,23434,17204643,13460,0,3
173513,100944,5,23400,33570,40000322,22187,0,3
145271,100944,16,16250,23465,17204643,9245,0,3
586321,100944,4,25624,33914,40000322,23384,0,3
307067,69904,11,6419,6830,10599120,9049,0,2
101449,69904,1,14240,18400,23848020,13609,0,3
107758,69904,6,10925,13700,18548460,13228,1,3
135216,69904,18,2699,4028,3533040,2000,1,6
197927,50000,17,6398,8909,15376295,3800,1,1
245815,50000,17,6389,8709,15376295,3510,1,1
182489,50000,17,6389,8709,15376295,3510,1,1
302424,50000,20,6944,10110,13498736,4600,1,1
516291,178220,15,31598,6403,51899348,26100,1,3
6122918,145157,12,33336,5120,72256586,26648,1,5
301016,37450,17,3329,4127,3873726,3019,1,2
232094,75000,4,4115,5184,9084960,5384,1,2
562311,94635,20,13998,9649,10346760,7770,0,3
394880,94635,20,13998,9649,10346760,7770,0,3
614181,126180,8,36615,69045,17034300,10500,0,1
1072530,126180,7,36615,70165,16403400,10500,0,1
4917840,126180,17,25353,10788,12618000,14412,1,5
195579,126180,17,25353,10788,12618000,14412,1,5
883260,126180,20,45051,75466,8075520,14860,0,1
206273,126180,6,53324,63645,44163000,47447,0,3
201762,126180,6,53324,63523,50472000,47447,0,3
205408,126180,6,53324,63564,38611080,47447,0,3
285205,63090,7,21367,32250,31545000,11338,1,6
479484,100944,5,25624,33914,40000322,23384,0,3
290214,100944,5,25624,33914,40000322,23384,0,3
318979,100944,17,16250,23434,17204643,13460,0,3
101449,69904,2,23132,30537,30914100,21460,0,2
293596,69904,7,10925,13700,18548460,13228,1,3
101449,69904,6,10925,13700,18548460,13228,1,3
669259,69904,11,10376,12835,14573790,11964,1,3
200018,69904,12,6420,6817,10599120,9049,0,2
168754,69904,22,2690,3914,3533040,2450,1,6
151118,94635,3,5061,857,52127482,5070,1,8
164103,82017,0,14000,18400,22081500,15036,0,3
189270,75708,5,4115,5199,9084960,5384,1,2
368698,53466,26,1176,800,3564400,6160,1,9
273701,62377,28,846,813,1996064,2300,1,9
122261,62377,30,836,892,2851520,4000,1,9
1469102,534660,5,69153,6260,327924800,54040,1,8
369313,178220,20,25122,10500,49901600,17700,0,4
324367,178220,20,25122,10500,49901600,17700,0,4
255676,178220,23,9085,3775,5346600,18171,1,5
115479,71288,29,3040,711,4705008,5600,1,4
118785,71288,28,4211,1045,2352504,9462,1,4
228960,178220,25,8023,3927,5346600,11400,1,5
417088,178220,26,4259,7078,8911000,12000,1,5
768884,178220,26,4377,4035,7128800,12000,1,5
903465,178220,10,22986,6584,49901600,24416,1,5
413036,178220,21,25122,10500,49901600,17700,0,4
413445,178220,21,25122,10500,49901600,17700,0,4
416947,178220,21,25122,10500,49901600,17700,0,4
273469,71288,30,3040,711,2530724,5600,1,4
128269,55694,2,23987,9415,40099500,13378,1,3
106408,55694,2,23987,9755,40099500,13378,1,3
397997,178220,15,31785,6403,32792480,26100,1,5
785951,178220,26,8023,3927,5346600,11400,1,5
1374013,178220,27,4377,4035,7128800,12000,1,5
402464,178220,15,26433,4213,62377000,31404,1,5
453655,178220,22,20446,3605,37426200,24000,1,4
805970,44940,37,2632,660,2217040,3450,0,8
306165,74900,9,439,50,5392800,5544,1,8
369804,74900,6,269,50,3834880,3466,1,8
152016,74900,8,478,100,2396800,4864,1,4
154706,74900,8,478,100,2396800,4864,1,4
1090375,149800,5,9650,850,44940000,12240,1,5
219415,149800,21,1568,305,2396800,1700,1,4
233024,149800,7,225,100,2022300,3646,0,8
702792,74900,19,2119,1778,2996000,3005,1,2
208491,74900,19,2119,1778,2996000,3005,1,2
381570,149800,3,11386,4210,59920000,12236,1,5
611465,149800,6,3695,1773,10036600,3594,1,4
407215,149800,8,2036,858,5992000,5002,1,4
174822,74900,7,2631,635,10905440,3260,1,4
352866,74900,2,1264,820,10066560,3072,1,4
359051,52430,0,1875,700,9986717,3480,1,4
516955,74900,27,737,199,2996000,1250,0,3
156163,74900,15,1974,1002,5033280,2826,0,3
317617,74900,6,172,17,2157120,1998,1,4
722490,29960,2,4200,6254,8988000,3589,1,1
186822,74900,22,1262,1150,2756320,1125,1,2
118375,74900,13,1280,662,6950720,1997,1,4
123867,74900,16,1984,1002,5992000,2300,0,4
1024051,149800,7,3695,1773,10036600,3603,1,4
380222,149800,28,1393,344,2696400,2200,1,4
84347,44940,22,16788,17190,13482000,9300,0,1
191094,59920,2,2598,2752,22470000,15008,1,9
108051,44940,3,2926,3044,26215000,14738,1,9
210400,44940,2,2955,3037,26215000,14738,1,9
95636,44940,18,570,500,2546600,1500,1,9
78556,44940,48,843,1000,2247000,1500,1,9
232190,52430,1,2500,700,9986717,3480,1,4
577289,74900,22,2119,1778,2996000,3005,1,2
158468,29960,17,1439,607,8988000,3000,0,4
119840,74900,12,1587,680,7789600,2446,0,4
188687,74900,9,2631,635,10905440,3260,1,4
227003,74900,17,1984,1002,5992000,2300,0,4
172787,74900,22,996,530,4434080,1300,0,4
233006,149800,24,1568,305,2996000,1700,1,4
211812,149800,22,1006,491,2247000,1299,1,4
262136,44940,28,1154,663,3745000,5300,1,9
125670,44940,49,843,1000,2247000,1500,1,9
219705,44940,49,843,1000,2247000,1500,1,9
303665,14980,12,3667,840,8748320,2637,1,3
167897,112350,26,20581,2857,16058560,24000,1,5
238217,112350,26,20581,2857,16058560,24000,1,5
273737,74900,8,3780,797,10905440,3600,1,3
149067,29960,10,236,50,2247000,3668,1,8
105116,14980,2,1656,405,10680740,2664,1,4
202021,14980,2,1656,405,10680740,2664,1,4
183802,59920,11,2637,4000,14980000,6602,1,9
556058,59920,2,6083,4700,65912000,17130,1,9
224700,149800,8,3609,1227,3370500,1264,1,5
195350,52430,2,2500,700,9986717,3480,1,4
245136,44940,25,1322,1100,5093200,7040,1,9
97912,29960,10,1183,575,8388800,2148,0,4
292657,74900,17,1974,1002,5033280,2826,0,3
541791,74900,4,1182,597,10186400,2528,1,8
190259,74900,9,3780,797,10905440,3600,1,3
103243,14980,26,1220,490,1198400,1650,1,3
97370,59920,6,3171,4170,23968000,7992,1,9
136687,59920,3,2656,2900,31158400,15000,1,9
226165,59920,3,6083,4700,65912000,17130,1,9
125217,44940,16,3149,2690,12485830,13200,1,9
464739,44940,16,3149,2690,12485830,13200,1,9
91259,44940,16,3149,2690,12485830,13200,1,9
244174,149800,9,3695,1773,10036600,3603,1,4
106543,59920,20,2169,2512,8988000,6120,1,9
187250,59920,12,2610,3050,13781600,6602,1,9
149800,59920,8,3052,4550,17751300,3590,1,9
112350,59920,3,3485,2964,33705000,19224,1,9
285116,29960,7,1793,2500,17976000,4000,1,4
126973,29960,13,3997,788,11984000,3600,1,4
448559,29960,14,3667,840,11085200,2637,1,4
71776,29960,17,3692,785,11085200,2640,1,3
124831,29960,21,1436,446,2696400,2035,0,3
115276,29960,21,1436,446,2696400,2035,0,3
158794,44940,13,236,50,2247000,3668,1,8
68694,29960,28,821,250,1498000,1375,0,4
1049527,44940,0,1950,680,20223000,7296,1,5
148547,59920,25,3502,2404,22470000,7886,1,9
1183420,59920,16,2499,1821,15579200,12004,1,9
109381,59920,19,3254,3119,10785600,7200,0,9
104860,59920,2,4456,4400,34753600,7992,1,9
286071,99999,15,3186,1078,14980000,4524,1,4
1707720,59920,0,4000,2000,34753600,11556,1,9
1285284,59920,28,1314,1200,5392800,7040,1,9
142890,59920,30,1154,663,3745000,5300,1,9
248571,59920,30,1154,663,3745000,5300,1,9
209720,149800,24,1006,491,2247000,1299,1,4
306114,112350,15,15064,2880,41674360,20800,1,5
627441,187250,18,2065,1478,3595200,2000,0,2
627441,187250,18,2065,1478,3595200,2000,0,2
417368,187250,20,2195,1900,3595200,1960,0,2
417368,187250,20,2195,1900,3595200,1960,0,2
1470226,112350,16,15064,2880,41674360,20800,1,5
139615,37450,17,3432,6157,6995660,4400,1,2
96161,37450,17,3432,6157,6995660,4400,1,2
96491,44940,8,1274,1869,3497830,1509,1,6
101471,37450,15,1646,1119,8089200,4500,1,9
187099,37450,12,2508,900,12583200,5757,1,9
237646,29960,23,631,700,1011150,1080,1,3
92604,29960,23,631,700,1011150,1080,1,3
15265092,149800,18,35438,3210,78195600,23672,1,5
528625,149800,18,35438,3210,78195600,23672,1,5
1292411,149800,12,31914,4606,76547800,26916,1,5
78043,44940,8,2637,4000,13781600,6602,1,9
125670,74900,28,8772,1710,14980000,15600,1,5
242468,187250,22,2316,3400,5692400,2880,1,6
242468,187250,22,2316,3400,5692400,2880,1,6
85965,29960,2,3500,4250,8988000,2828,1,1
317060,29960,2,3500,4250,8988000,2828,1,1
162620,29960,2,3500,4250,8988000,2828,1,1
433716,44940,14,2535,1719,11010300,11990,1,9
438982,187250,9,3206,4739,16478000,4077,1,6
438982,187250,9,3206,4739,16478000,4077,1,6
110028,44940,17,1971,2450,12583200,13040,1,9
196669,44940,7,2766,2418,13781600,14400,1,9
2958550,112350,31,1628,624,7789600,1500,1,9
399214,149800,7,9650,850,48685000,12240,1,5
109094,37450,19,4101,6157,6995660,4400,1,1
2029991,149800,3,11350,800,74900000,12236,1,5
152586,44940,15,2535,1719,11010300,11990,1,9
234392,149800,20,29706,3630,67410000,29200,0,5
1051555,37450,18,1646,1119,10186400,4500,1,9
264412,187250,10,3206,4794,16478000,4077,1,6
264412,187250,10,3206,4794,16478000,4077,1,6
270813,187250,15,4876,4525,13182400,4076,1,2
270813,187250,15,4876,4525,13182400,4076,1,2
224446,187250,19,7307,5500,11984000,5800,1,2
224446,187250,19,7307,5500,11984000,5800,1,2
270931,149800,7,11204,860,48685000,12236,1,5
224348,149800,5,11200,850,53928000,15308,1,5
93673,44940,17,1910,29800,9587200,5250,1,9
855106,44940,18,1971,2056,12583200,13040,1,9
262671,44940,8,2766,2418,23968000,14400,1,9
183828,44940,8,2766,2395,22170400,14400,1,9
2890332,37450,12,4471,3728,14980000,3000,1,2
166713,37450,20,4101,6157,6995660,4400,1,1
1291759,149800,17,34417,3019,72653000,35888,1,5
294720,112350,20,21699,2880,41674360,20800,1,5
181247,44940,26,2602,3092,1198400,2400,1,2
316334,44940,23,2062,2525,1198400,2200,1,2
69706,37450,21,4101,6157,6995660,4400,1,1
322070,59920,22,1621,2013,10186400,10560,1,9
239680,59920,22,1621,2013,10186400,10560,1,9
3655120,59920,7,3052,4550,20372800,3590,1,9
134820,59920,5,3057,2750,31757600,16810,1,9
389480,59920,4,3125,2900,34154400,16804,1,9
606690,52430,3,6951,4500,35952000,11746,1,9
99709,29960,19,2019,2250,14380800,12724,1,9
150771,44940,18,2686,2685,16178400,12000,1,9
97836,44940,18,3385,2460,19773600,17932,0,9
155999,44940,7,3051,4250,22170400,9096,0,9
101206,44940,5,3061,4587,22170400,9096,0,9
313954,59920,7,6045,9494,21975660,5384,1,6
282598,59920,4,9814,15990,29960000,8075,1,6
756282,59920,12,3998,6519,17466680,4395,1,6
1201789,153189,16,69313,129154,50634947,19520,0,6
247563,153189,16,69313,129154,50634947,19520,0,6
292110,187250,11,4433,6782,14980000,4486,1,6
309372,34745,22,7454,9060,14829273,6000,1,1
461175,1e+05,8,6959,6200,1.7e+07,9086,1,4
645117,1e+05,8,6959,6200,1.7e+07,9086,1,4
130511,75000,6,5378,8491,1.8e+07,4799,1,6
105670,75000,6,5378,8491,1.8e+07,4799,1,6
688510,75000,7,5378,8491,1.6e+07,4799,1,6
694467,250000,21,5190,2424,25860000,8790,1,4
175000,50000,12,2285,1897,1.6e+07,13204,1,9
1e+05,50000,12,2287,1848,1.6e+07,13204,1,9
110000,50000,12,2287,1848,1.6e+07,13204,1,9
1250000,50000,7,1310,1797,8500000,3596,1,4
150000,1e+05,23,739,850,2400000,2480,1,9
108226,75000,23,13439,21090,2700000,10500,0,6
581529,5e+05,20,25268,38747,10750000,13100,0,2
579734,5e+05,23,24787,38325,7e+06,13100,0,2
631630,5e+05,23,21117,39082,7e+06,13100,0,2
245695,150000,15,21568,39293,23335000,11200,0,6
2299117,150000,17,20698,37572,19334000,15600,1,6
275375,1e+05,9,18023,29998,15200000,9060,0,6
183458,1e+05,14,33405,35890,5e+06,23800,0,3
628283,1e+05,19,51982,49730,5e+06,26640,0,3
353850,150000,3,156752,298816,68800000,36960,0,6
120770,75000,8,11425,14910,1.4e+07,7120,0,6
982290,75000,8,11425,14910,1.4e+07,7120,0,6
287023,150000,10,52524,84395,2.1e+07,19080,0,6
429800,250000,2,33364,44236,3.4e+07,15600,0,2
1813226,150000,20,26066,45065,8e+06,15200,0,1
256906,150000,18,24030,44016,1e+07,15200,0,1
826045,5e+05,6,73937,8600,2.84e+08,29364,1,8
823831,5e+05,5,73937,8600,2.84e+08,29692,1,8
1281580,5e+05,7,48563,5344,2e+08,22024,1,8
954918,5e+05,15,37584,5237,1e+08,22400,1,8
1343311,5e+05,15,37584,5237,1e+08,22400,1,8
1177335,5e+05,15,37584,5237,1e+08,22400,1,8
1224027,5e+05,15,37584,5237,1e+08,22400,1,8
1318635,5e+05,0,76000,6300,2.84e+08,68520,1,8
605998,350000,24,28018,5936,5.6e+07,18000,0,8
605998,350000,24,28018,5936,5.6e+07,18000,0,8
1429037,4e+05,17,25611,1703,1e+08,26000,1,8
1429037,4e+05,17,25611,1703,1e+08,26000,1,8
285312,2e+05,20,11903,17161,7500000,12000,0,2
108983,50000,12,3398,2979,6850000,4080,1,2
322480,50000,12,3399,2900,6850000,4080,1,2
96012,50000,18,3624,4348,1800000,3180,1,2
378659,50000,18,3624,4348,1800000,3180,1,2
86079,50000,21,2688,1284,2e+06,3600,1,2
80340,50000,21,2688,1284,2e+06,3600,1,2
91000,50000,14,1072,1525,2750000,2400,1,2
373986,50000,14,1072,1525,2750000,2400,1,2
212356,1e+05,5,41189,74928,45340000,9850,0,1
245266,1e+05,4,41189,74868,44680000,10900,0,1
183348,1e+05,6,17018,29999,1.6e+07,6662,0,6
589038,1e+05,16,40285,88726,1.2e+07,15800,0,6
2553953,1e+05,7,43398,84040,23890000,10900,0,6
179080,1e+05,21,17487,31955,4670000,12000,0,6
203459,1e+05,9,43406,59999,19340000,10900,0,6
1571907,150000,17,39976,81634,11600000,18500,0,6
215000,65000,6,75675,150108,3e+07,14199,0,1
1964554,45000,9,18055,29997,1.8e+07,10900,0,6
644653,5e+05,24,128760,244677,2e+07,32999,0,1
848256,5e+05,6,52926,5000,2.6e+08,28796,1,8
841619,5e+05,6,52926,5000,2.6e+08,28796,1,8
260316,150000,9,79544,139764,36500000,18850,0,6
215693,125000,5,66671,123665,6.5e+07,20023,0,6
146307,1e+05,24,41814,32753,5e+06,29610,0,3
563173,1e+05,2,50350,59093,5e+06,42116,0,3
154637,1e+05,28,24699,28225,2100000,19999,0,3
448791,1e+05,19,43674,38757,5e+06,53276,0,3
195440,1e+05,14,33405,35890,5e+06,23800,0,3
141249,99999,14,33405,35890,5e+06,23800,0,3
274761,1e+05,25,56822,48544,5e+06,50880,0,3
586369,1e+05,8,50235,59367,5e+06,36000,0,3
525483,1e+05,4,50235,59093,5e+06,42116,0,3
108680,60000,14,3960,5220,6100000,5500,1,2
269975,1e+05,12,19510,29152,1.5e+07,6600,1,1
227420,1e+05,14,5829,10110,11600000,4600,1,1
458076,150000,9,9975,800,5.6e+07,9898,1,8
416248,150000,9,9975,800,5.6e+07,9898,1,8
326523,150000,9,9975,800,5.6e+07,9898,1,8
108025,75000,16,9435,15721,3400000,6150,0,2
2115162,1e+05,16,37323,62180,6e+06,16880,1,1
123100,75000,15,22585,40490,11600000,10876,0,6
161857,125000,11,48676,15577,31700000,16110,0,2
533017,150000,13,37168,60550,27050000,11900,0,1
408075,250000,4,156837,300364,63700000,26000,0,6
207291,1e+05,13,22009,37696,8334000,6936,0,1
199812,1e+05,21,8182,13114,4e+06,8483,0,6
797993,150000,13,35904,65402,27050000,15200,0,1
302514,75000,6,6262,10511,1.7e+07,5030,0,7
2609623,3e+05,31,32753,7682,2.4e+07,39999,0,8
357753,3e+05,31,32753,7682,2.4e+07,39999,0,8
5047662,3e+05,31,32753,7682,2.4e+07,39999,0,8
287943,75000,4,6262,10500,1.7e+07,5030,0,6
1270971,175000,5,91642,165239,22750000,16314,0,1
700075,4e+05,4,19089,1800,9e+07,17828,1,8
700075,4e+05,4,19089,1800,9e+07,17828,1,8
228384,150000,6,4200,645,13340000,4782,1,8
340736,3e+05,15,18878,34982,2e+07,13200,0,6
340736,3e+05,15,18878,34982,2e+07,13200,0,6
372600,3e+05,14,13088,23002,2e+07,10500,0,6
372600,3e+05,14,13088,23002,2e+07,10500,0,6
1268502,2e+05,22,17527,16397,5e+07,29999,0,3
414936,2e+05,22,31515,16011,5e+07,29999,0,3
111050,75000,6,7239,9157,1.2e+07,10876,1,2
991388,50000,18,6832,5064,5e+06,4800,1,3
860214,5e+05,17,26191,38695,14750000,12000,0,2
1128085,5e+05,17,26191,38695,14750000,12000,0,2
1569982,5e+05,20,25552,38542,12550000,13100,0,2
741473,5e+05,24,21005,38635,7e+06,13100,0,2
2143659,1e+05,13,37814,53726,5e+06,28845,0,3
142714,1e+05,15,33405,35890,5e+06,23800,0,3
202506,1e+05,15,33405,35890,5e+06,23800,0,3
138249,1e+05,20,51982,49730,5e+06,26640,0,3
440048,1e+05,15,23930,29730,5e+06,14890,0,3
173168,99999,14,23790,29930,5e+06,14890,0,3
264759,1e+05,2,51931,60200,5e+06,43450,0,3
221084,1e+05,2,51931,51700,5e+06,43465,0,3
705148,1e+05,22,37286,34346,5e+06,53194,0,3
333564,1e+05,25,41814,32753,5e+06,29610,0,3
181190,75000,8,43398,84440,28500000,10900,0,6
296448,75000,8,43398,84440,28500000,10900,0,6
235000,75000,9,11425,14910,1.4e+07,7120,0,6
243859,150000,17,45777,78532,1e+07,15400,0,1
512850,150000,17,12783,12961,1.2e+07,11200,0,2
309409,150000,17,12783,12961,1.2e+07,11200,0,2
130074,1e+05,17,3875,6174,6e+06,4400,1,1
244082,1e+05,17,3875,6174,6e+06,4400,1,1
29731603,5e+05,7,73937,8600,2.84e+08,29364,1,8
391900,350000,13,25345,40790,19670000,10030,0,2
671034,150000,12,17814,29531,1.2e+07,9500,0,1
467985,1e+05,5,45593,83155,3.6e+07,10900,0,1
162960,1e+05,6,17018,29998,2e+07,6662,0,6
182978,1e+05,10,43406,59999,2.4e+07,10900,0,6
338054,1e+05,10,43406,59999,2.4e+07,11005,0,6
140306,1e+05,10,43406,59999,2.4e+07,11005,0,6
1358101,150000,10,59289,104984,2.4e+07,13812,0,6
1234910,4e+05,6,50760,5589,2.08e+08,25340,1,8
412101,350000,25,28018,5936,5.6e+07,18000,0,8
763943,4e+05,18,25611,1703,1e+08,26000,1,8
213744,150000,2,53639,94648,2500000,14160,0,6
327955,250000,9,16488,15600,2.9e+07,20650,0,3
203152,75000,15,17066,28192,7300000,8000,0,1
334152,75000,10,25740,41570,1.8e+07,9500,0,6
146782,1e+05,22,8341,12100,4200000,6000,1,1
192790,150000,11,17191,30052,1.4e+07,10876,0,1
490708,150000,10,79544,139764,36500000,18850,0,6
278173,150000,10,79544,139764,36500000,18850,0,6
1399950,1e+05,22,8182,14590,4e+06,8483,0,6
2e+05,150000,16,21568,39293,23335000,11200,0,6
2795649,150000,18,20698,37532,21334000,15600,1,6
183810,150000,17,15200,26300,12121000,11216,0,6
908965,150000,6,7884,12400,3.2e+07,8158,1,6
807468,150000,12,8002,12186,13334000,5574,1,6
285620,150000,14,35904,65318,26850000,15200,0,1
1405932,3e+05,32,32753,7682,2.4e+07,39999,0,8
134039,1e+05,6,7743,7721,1.2e+07,11012,0,2
159518,125000,17,41057,41985,1.5e+07,11200,0,6
169173,125000,17,41057,41985,1.5e+07,11200,0,6
299686,1e+05,16,26450,44993,1.3e+07,13600,0,6
436616,75000,5,6262,10550,1.7e+07,5030,0,6
260304,75000,5,6262,10650,1.7e+07,5030,0,6
478603,150000,11,23306,34752,1.4e+07,13134,0,1
187385,125000,17,31926,58327,15400000,14400,0,6
1253425,125000,16,47947,17863,22200000,18400,0,2
247497,75000,7,7239,9157,1.2e+07,10876,1,2
177705,75000,7,7239,9157,1.2e+07,10876,1,2
383936,3e+05,11,22637,40272,2.5e+07,10944,0,6
1054469,1e+05,17,37323,62180,6e+06,16880,1,1
744353,1e+05,2,26449,47369,2e+07,9970,0,1
314006,1e+05,15,22585,40520,12800000,10876,0,6
1872140,5e+05,2,76522,5700,2.84e+08,42824,1,8
709250,5e+05,6,47255,4300,1.88e+08,27134,1,8
